time,equity,trades,wr,cooldown
2026-08-23T18:09:33.596428,98.18,88,44.3,0
2026-08-23T18:10:34.822143,98.18,88,44.3,0
2026-08-23T18:11:43.321213,98.18,88,44.3,0
2026-08-23T18:12:44.459353,98.18,88,44.3,0
2026-08-23T18:13:45.703145,98.18,88,44.3,0
2026-08-23T18:14:51.270255,98.18,88,44.3,0
2026-08-23T18:15:52.360061,98.18,88,44.3,0
2026-08-23T18:16:55.147850,98.18,88,44.3,0
2026-08-23T18:17:56.391310,98.18,88,44.3,0
2026-08-23T18:19:01.338662,98.18,88,44.3,0
2026-08-23T18:20:02.607840,98.18,88,44.3,0
2026-08-23T18:21:03.665526,98.18,88,44.3,0
2026-08-23T18:22:04.872623,98.18,88,44.3,0
2026-08-23T18:23:08.389776,98.18,88,44.3,0
