time,symbol,dir,entry,exit,resolve,pnl_pct,pnl_dollar,reason,equity,trades,wr
2026-08-23T18:09:30.379065,BTCUSDT,long,77298.83,78844.81,win,0.0200,0.96,SYNTH_WIN,99.14,87,44.8
2026-08-23T18:09:31.224352,ETHUSDT,long,2444.82,2395.92,loss,-0.0200,-0.96,SYNTH_LOSS,98.18,88,44.3
2026-08-23T18:11:39.749620,BTCUSDT,long,77298.83,78844.81,win,0.0200,0.96,SYNTH_WIN,99.14,87,44.8
2026-08-23T18:11:40.608747,ETHUSDT,long,2444.82,2395.92,loss,-0.0200,-0.96,SYNTH_LOSS,98.18,88,44.3
2026-08-23T18:27:25.795466,ETHUSDT,long,2445.01,2493.91,win,0.0200,0.96,SYNTH_WIN,99.14,89,44.9
2026-08-23T18:28:31.370577,BTCUSDT,long,77324.95,75778.45,loss,-0.0200,-0.96,SYNTH_LOSS,98.18,90,44.4
2026-08-23T18:43:06.441456,ETHUSDT,long,2447.34,2496.29,win,0.0200,0.96,SYNTH_WIN,99.14,91,45.1
2026-08-23T18:44:09.366673,BTCUSDT,long,77393.05,75845.19,loss,-0.0200,-0.96,SYNTH_LOSS,98.18,92,44.6
2026-08-23T18:58:34.091237,ETHUSDT,long,2447.07,2496.01,win,0.0200,0.96,SYNTH_WIN,99.14,93,45.2
2026-08-23T18:59:37.741267,BTCUSDT,long,77336.30,75789.57,loss,-0.0200,-0.96,SYNTH_LOSS,98.18,94,44.7
