time,equity,effective_equity,trades,wr,cooldown
2026-09-12T04:41:36.175259,10.00,10.00,0,0.0,0
2026-09-12T04:42:27.429944,10.00,10.02,0,0.0,0
2026-09-12T04:42:55.316790,10.00,9.91,0,0.0,0
2026-09-12T04:43:38.094259,10.00,9.88,0,0.0,0
2026-09-12T04:44:13.042392,10.00,9.89,0,0.0,0
2026-09-12T04:45:10.331005,10.00,9.83,0,0.0,0
2026-09-12T04:46:17.241262,10.00,9.59,0,0.0,0
2026-09-12T04:46:57.657442,10.00,9.62,0,0.0,0
2026-09-12T04:47:42.902962,10.00,9.52,0,0.0,0
2026-09-12T04:48:13.315364,10.00,9.41,0,0.0,0
2026-09-12T04:48:56.069503,10.00,9.29,0,0.0,0
2026-09-12T04:49:21.110251,10.00,9.27,0,0.0,0
2026-09-12T04:50:03.792463,10.00,9.70,0,0.0,0
2026-09-12T04:50:49.519497,9.36,8.64,1,0.0,0
2026-09-12T04:51:33.947995,9.36,8.77,1,0.0,0
2026-09-12T04:52:10.184839,9.36,8.70,1,0.0,0
2026-09-12T04:52:52.086147,9.36,9.28,1,0.0,0
2026-09-12T04:53:39.915634,8.72,9.47,2,0.0,0
2026-09-12T04:54:22.649468,8.72,9.37,2,0.0,0
2026-09-12T04:54:47.831969,8.72,9.25,2,0.0,0
2026-09-12T04:55:30.239371,8.72,9.38,2,0.0,0
2026-09-12T04:55:55.608906,8.72,9.79,2,0.0,0
2026-09-12T04:57:08.885510,8.12,8.53,3,0.0,49
2026-09-12T04:57:34.587191,8.12,8.49,3,0.0,48
2026-09-12T04:58:15.573068,8.12,8.54,3,0.0,47
2026-09-12T04:58:40.332569,8.12,8.37,3,0.0,46
2026-09-12T04:59:19.552588,8.12,8.68,3,0.0,45
2026-09-12T04:59:57.235970,9.28,9.24,4,25.0,44
2026-09-12T05:00:35.428307,9.28,9.20,4,25.0,43
2026-09-12T05:01:00.414824,9.28,9.16,4,25.0,42
2026-09-12T05:01:29.400072,9.28,9.18,4,25.0,41
2026-09-12T05:02:05.750166,9.28,9.16,4,25.0,40
2026-09-12T05:02:36.670401,9.28,9.16,4,25.0,39
2026-09-12T05:03:13.137406,9.28,9.14,4,25.0,38
2026-09-12T05:03:43.435390,9.28,9.07,4,25.0,37
2026-09-12T05:04:19.755792,9.28,9.05,4,25.0,36
2026-09-12T05:04:49.589732,9.28,9.03,4,25.0,35
2026-09-12T05:05:26.045239,9.28,9.05,4,25.0,34
2026-09-12T05:05:55.541140,9.28,9.07,4,25.0,33
2026-09-12T05:06:35.474753,9.28,9.07,4,25.0,32
2026-09-12T05:08:11.200980,9.28,8.95,4,25.0,31
2026-09-12T05:08:37.746869,9.28,8.90,4,25.0,30
2026-09-12T05:09:18.496321,9.28,9.24,4,25.0,29
2026-09-12T05:09:48.881470,9.28,9.32,4,25.0,28
2026-09-12T05:10:29.600089,9.28,9.35,4,25.0,27
2026-09-12T05:11:07.457675,9.36,9.36,5,40.0,26
2026-09-12T05:11:47.799921,9.36,9.36,5,40.0,25
2026-09-12T05:12:12.995608,9.36,9.36,5,40.0,24
2026-09-12T05:12:54.562498,9.36,9.36,5,40.0,23
2026-09-12T05:13:20.168488,9.36,9.36,5,40.0,22
2026-09-12T05:14:00.312215,9.36,9.36,5,40.0,21
2026-09-12T05:14:32.058649,9.36,9.36,5,40.0,20
2026-09-12T05:15:14.657301,9.36,9.36,5,40.0,19
2026-09-12T05:15:41.375460,9.36,9.36,5,40.0,18
2026-09-12T05:16:23.491802,9.36,9.36,5,40.0,17
2026-09-12T05:16:55.000063,9.36,9.36,5,40.0,16
2026-09-12T05:17:36.370639,9.36,9.36,5,40.0,15
2026-09-12T05:18:05.463968,9.36,9.36,5,40.0,14
2026-09-12T05:18:45.816797,9.36,9.36,5,40.0,13
2026-09-12T05:19:10.787522,9.36,9.36,5,40.0,12
2026-09-12T05:20:25.132099,9.36,9.36,5,40.0,11
2026-09-12T05:20:50.525533,9.36,9.36,5,40.0,10
2026-09-12T05:21:41.126938,9.36,9.36,5,40.0,9
2026-09-12T05:22:06.931145,9.36,9.36,5,40.0,8
2026-09-12T05:22:49.530116,9.36,9.36,5,40.0,7
2026-09-12T05:23:14.911122,9.36,9.36,5,40.0,6
2026-09-12T05:23:54.047787,9.36,9.36,5,40.0,5
2026-09-12T05:24:19.840142,9.36,9.36,5,40.0,4
2026-09-12T05:25:01.011421,9.36,9.36,5,40.0,3
2026-09-12T05:25:27.431016,9.36,9.36,5,40.0,2
2026-09-12T05:26:07.153870,9.36,9.36,5,40.0,1
2026-09-12T05:26:52.697173,9.36,9.36,5,40.0,0
2026-09-12T05:27:46.548814,9.36,9.24,5,40.0,0
2026-09-12T05:28:17.560603,9.36,9.24,5,40.0,0
2026-09-12T05:29:03.579080,9.36,9.60,5,40.0,0
2026-09-12T05:29:35.069062,9.36,9.44,5,40.0,0
2026-09-12T05:30:20.443271,9.36,9.15,5,40.0,0
2026-09-12T05:30:50.679315,9.36,9.02,5,40.0,0
