time,symbol,dir,entry,exit,resolve,pnl_pct,pnl_dollar,reason,equity,trades,wr
2026-09-12T05:44:54.609334,VTHOUSDT,long,0.00,0.00,market,-0.0160,-0.64,SL,9.36,1,0.0
2026-09-12T06:00:04.213975,BEATUSDT,long,0.09,0.09,market,0.0109,0.44,TIMEOUT,9.80,2,50.0
2026-09-12T06:05:07.507331,VTHOUSDT,long,0.00,0.00,market,0.0253,0.95,TIMEOUT,10.74,3,66.7
2026-09-12T06:06:23.626606,VTHOUSDT,long,0.00,0.00,market,0.0290,1.25,TP,11.99,4,75.0
2026-09-12T06:17:07.973176,VTHOUSDT,long,0.00,0.00,market,0.0290,1.39,TP,13.38,5,80.0
2026-09-12T06:18:50.137893,VTHOUSDT,long,0.00,0.00,market,-0.0160,-0.86,SL,12.52,6,66.7
2026-09-12T06:34:30.901734,VTHOUSDT,long,0.00,0.00,market,-0.0160,-0.80,SL,11.72,7,57.1
2026-09-12T06:38:17.212841,QUSDT,long,0.03,0.02,market,-0.0160,-0.80,SL,10.92,8,50.0
2026-09-12T06:47:51.166749,VTHOUSDT,long,0.00,0.00,market,0.0211,0.94,KILL,11.86,9,55.6
2026-09-12T06:53:41.998489,VTHOUSDT,long,0.00,0.00,market,-0.0160,-0.76,SL,11.10,10,50.0
2026-09-12T07:11:42.959159,VTHOUSDT,long,0.00,0.00,market,-0.0119,-0.53,TIMEOUT,10.58,11,45.5
2026-09-12T07:21:59.748118,VTHOUSDT,short,0.00,0.00,market,-0.0160,-0.68,SL,9.90,12,41.7
2026-09-12T07:23:15.797293,IOSTUSDT,long,0.00,0.00,market,-0.0137,-0.61,TIMEOUT,9.29,13,38.5
2026-09-12T08:12:04.733817,VTHOUSDT,short,0.00,0.00,market,0.0290,1.08,TP,10.37,14,42.9
2026-09-12T08:16:55.710476,VTHOUSDT,short,0.00,0.00,market,-0.0160,-0.66,SL,9.70,15,40.0
2026-09-12T08:28:07.827576,JCTUSDT,long,0.00,0.00,market,-0.0160,-0.66,SL,9.04,16,37.5
2026-09-12T08:34:34.541201,VTHOUSDT,short,0.00,0.00,market,0.0177,0.69,TIMEOUT,9.73,17,41.2
2026-09-12T08:45:37.494598,JCTUSDT,long,0.00,0.00,market,0.0003,0.01,TIMEOUT,9.74,18,44.4
2026-09-12T08:52:46.961702,VTHOUSDT,short,0.00,0.00,market,-0.0069,-0.27,TIMEOUT,9.47,19,42.1
2026-09-12T10:02:12.577981,VTHOUSDT,long,0.00,0.00,market,0.0033,0.13,TIMEOUT,9.60,20,45.0
2026-09-12T10:22:26.119391,VTHOUSDT,long,0.00,0.00,market,-0.0110,-0.42,TIMEOUT,9.17,21,42.9
2026-09-12T10:56:03.220208,VTHOUSDT,long,0.00,0.00,market,-0.0066,-0.24,TIMEOUT,8.93,22,40.9
2026-09-12T11:16:08.947373,VTHOUSDT,long,0.00,0.00,market,-0.0081,-0.29,TIMEOUT,8.64,23,39.1
2026-09-12T13:00:17.851941,TRADOORUSDT,long,0.68,0.68,market,-0.0083,-0.28,TIMEOUT,8.36,24,37.5
2026-09-12T13:51:17.416437,KOMAUSDT,long,0.02,0.02,market,0.0047,0.16,TIMEOUT,8.51,25,40.0
2026-09-12T14:06:52.746353,VTHOUSDT,long,0.00,0.00,market,-0.0067,-0.22,TIMEOUT,8.29,26,38.5
2026-09-12T14:08:41.496118,KOMAUSDT,long,0.02,0.02,market,-0.0060,-0.21,TIMEOUT,8.09,27,37.0
2026-09-12T14:26:18.513492,KOMAUSDT,long,0.02,0.02,market,-0.0054,-0.18,TIMEOUT,7.91,28,35.7
2026-09-12T15:12:36.467302,BEATUSDT,long,0.09,0.09,market,-0.0160,-0.51,SL,7.40,29,34.5
2026-09-12T18:33:39.563508,BEATUSDT,long,0.09,0.09,market,-0.0160,-0.47,SL,6.93,30,33.3
2026-09-12T18:38:05.494694,KOMAUSDT,long,0.02,0.02,market,-0.0160,-0.44,SL,6.49,31,32.3
