time,symbol,dir,entry,exit,resolve,pnl_pct,pnl_dollar,reason,equity,trades,wr
2026-09-10T05:25:29.800430,BULLAUSDT,long,0.09,0.09,market,-0.0023,-0.09,TIMEOUT,9.91,1,0.0
2026-09-10T05:28:29.335887,APRUSDT,long,0.15,0.15,market,0.0123,0.49,TIMEOUT,10.40,2,50.0
2026-09-10T05:39:01.144744,BULLAUSDT,long,0.09,0.09,market,0.0290,1.15,TP,11.54,3,66.7
2026-09-10T05:42:37.211768,BULLAUSDT,long,0.09,0.09,market,0.0290,1.34,TP,12.88,4,75.0
2026-09-10T05:45:35.187105,APRUSDT,long,0.15,0.15,market,-0.0011,-0.04,TIMEOUT,12.84,5,60.0
2026-09-10T05:55:55.329386,BULLAUSDT,long,0.10,0.09,market,-0.0160,-0.82,SL,12.01,6,50.0
2026-09-10T06:02:51.284587,APRUSDT,long,0.15,0.15,market,0.0014,0.07,TIMEOUT,12.08,7,57.1
2026-09-10T06:06:51.318573,BULLAUSDT,long,0.09,0.09,market,0.0290,1.39,TP,13.48,8,62.5
2026-09-10T06:10:43.765328,BULLAUSDT,long,0.09,0.09,market,-0.0160,-0.86,SL,12.62,9,55.6
2026-09-10T06:20:06.364159,APRUSDT,long,0.15,0.15,market,-0.0060,-0.29,TIMEOUT,12.33,10,50.0
2026-09-10T06:28:14.817012,BULLAUSDT,long,0.09,0.09,market,0.0081,0.41,TIMEOUT,12.74,11,54.5
2026-09-10T06:32:20.782936,BULLAUSDT,long,0.09,0.09,market,-0.0160,-0.81,SL,11.92,12,50.0
2026-09-10T06:41:14.090766,BULLAUSDT,short,0.09,0.09,market,-0.0160,-0.76,SL,11.16,13,46.2
2026-09-10T07:32:50.922244,BULLAUSDT,short,0.08,0.08,market,0.0290,1.29,TP,12.45,14,50.0
2026-09-10T07:49:58.417430,BULLAUSDT,short,0.08,0.08,market,-0.0059,-0.29,TIMEOUT,12.16,15,46.7
2026-09-10T08:07:12.672303,BULLAUSDT,short,0.08,0.08,market,0.0068,0.33,TIMEOUT,12.49,16,50.0
2026-09-10T08:25:20.587299,BULLAUSDT,short,0.08,0.08,market,-0.0160,-0.80,SL,11.69,17,47.1
2026-09-10T08:55:31.254730,BULLAUSDT,long,0.09,0.08,market,-0.0160,-0.75,SL,10.94,18,44.4
2026-09-10T09:12:34.861583,BULLAUSDT,long,0.08,0.08,market,-0.0059,-0.26,TIMEOUT,10.68,19,42.1
2026-09-10T10:30:47.101279,DOODUSDT,long,0.00,0.00,market,-0.0045,-0.19,TIMEOUT,10.49,20,40.0
2026-09-10T10:46:45.278708,TRADOORUSDT,long,0.64,0.64,market,0.0100,0.43,TIMEOUT,10.92,21,42.9
2026-09-10T12:34:06.140380,APRUSDT,long,0.15,0.15,market,-0.0004,-0.02,TIMEOUT,10.90,22,40.9
2026-09-10T12:34:49.646027,APRUSDT,long,0.15,0.15,market,-0.0160,-0.70,SL,10.21,23,39.1
2026-09-10T12:54:43.649815,APRUSDT,long,0.15,0.15,market,0.0016,0.07,TIMEOUT,10.27,24,41.7
2026-09-10T15:20:01.891591,MAGMAUSDT,long,0.23,0.23,market,0.0063,0.26,TIMEOUT,10.53,25,44.0
2026-09-11T05:13:57.733727,BULLAUSDT,long,0.08,0.08,market,-0.0048,-0.20,TIMEOUT,10.33,26,42.3
2026-09-11T06:47:46.275153,BULLAUSDT,short,0.07,0.07,market,-0.0160,-0.66,SL,9.67,27,40.7
2026-09-11T07:05:29.721874,BULLAUSDT,short,0.07,0.07,market,0.0141,0.54,TIMEOUT,10.21,28,42.9
2026-09-11T08:20:18.377292,VTHOUSDT,long,0.00,0.00,market,0.0290,1.18,TP,11.40,29,44.8
2026-09-11T08:22:01.035697,VTHOUSDT,long,0.00,0.00,market,-0.0160,-0.73,SL,10.67,30,43.3
2026-09-11T08:25:51.923558,VTHOUSDT,long,0.00,0.00,market,0.0290,1.24,TP,11.90,31,45.2
2026-09-11T08:29:14.163627,VTHOUSDT,long,0.00,0.00,market,-0.0160,-0.76,SL,11.14,32,43.8
2026-09-11T08:33:17.864252,VTHOUSDT,long,0.00,0.00,market,-0.0160,-0.71,SL,10.43,33,42.4
2026-09-11T08:35:54.327887,VTHOUSDT,long,0.00,0.00,market,0.0290,1.21,TP,11.64,34,44.1
2026-09-11T08:36:42.888878,IOSTUSDT,long,0.00,0.00,market,0.0011,0.05,TIMEOUT,11.68,35,45.7
2026-09-11T08:40:03.986934,VTHOUSDT,long,0.00,0.00,market,-0.0160,-0.74,SL,10.94,36,44.4
2026-09-11T08:44:04.416929,BULLAUSDT,long,0.07,0.07,market,-0.0122,-0.58,TIMEOUT,10.36,37,43.2
