time,symbol,dir,entry,exit,qty,pnl_pct,pnl_dollar,reason,equity,trades,wr,dd
2026-08-19T14:15:29.345154,BTCUSDT,long,64804.48,65399.32,0.046293,0.0092,27.54,TIMEOUT,100027.54,1,100.0,0.0004
2026-08-19T14:15:30.305629,ETHUSDT,long,1915.03,1937.04,1.566555,0.0115,34.48,TIMEOUT,100062.02,2,100.0,0.0000
2026-08-19T15:04:55.051458,ETHUSDT,long,1937.04,1975.78,1.549715,0.0200,60.04,TP,100122.05,3,100.0,0.0003
2026-08-19T15:16:09.948255,BTCUSDT,long,65399.32,66707.31,0.045900,0.0200,60.04,TP,100182.09,4,100.0,0.0000
2026-08-19T17:20:57.007746,ETHUSDT,long,2100.59,2071.87,1.430771,-0.0137,-41.09,TIMEOUT,100141.00,5,80.0,0.0005
2026-08-19T17:32:14.492114,BTCUSDT,short,68582.00,67853.43,0.043823,0.0106,31.93,TIMEOUT,100172.93,6,83.3,0.0002
2026-08-19T18:38:52.278469,ETHUSDT,short,2071.87,2087.37,1.450009,-0.0075,-22.48,TIMEOUT,100150.45,7,71.4,0.0004
2026-08-19T18:51:02.609028,BTCUSDT,short,67853.43,68408.66,0.044289,-0.0082,-24.59,TIMEOUT,100125.86,8,62.5,0.0006
2026-08-19T19:57:56.454752,ETHUSDT,long,2087.37,2104.18,1.439378,0.0081,24.20,TIMEOUT,100150.06,9,66.7,0.0004
2026-08-19T20:09:13.540631,BTCUSDT,short,68408.66,68614.56,0.043909,-0.0030,-9.04,TIMEOUT,100141.02,10,60.0,0.0005
2026-08-19T20:51:30.538153,ETHUSDT,long,2104.18,2146.26,1.427873,0.0200,60.09,TP,100201.11,11,63.6,0.0000
2026-08-19T21:05:53.574632,ETHUSDT,long,2212.84,2257.10,1.358450,0.0200,60.12,TP,100261.23,12,66.7,0.0000
2026-08-19T21:07:58.292708,ETHUSDT,long,2258.08,2303.24,1.332033,0.0200,60.16,TP,100321.38,13,69.2,0.0000
2026-08-19T21:13:06.620393,ETHUSDT,long,2314.49,2268.20,1.300348,-0.0200,-60.19,SL,100261.19,14,64.3,0.0006
2026-08-19T21:26:26.063305,BTCUSDT,short,68614.56,69562.01,0.043784,-0.0138,-41.48,TIMEOUT,100219.71,15,60.0,0.0010
2026-08-19T21:30:33.099986,ETHUSDT,long,2244.97,2289.87,1.339811,0.0200,60.16,TP,100279.86,16,62.5,0.0004
2026-08-19T22:33:59.468319,ETHUSDT,long,2289.98,2244.18,1.313721,-0.0200,-60.17,SL,100219.70,17,58.8,0.0010
2026-08-19T22:43:11.668435,BTCUSDT,long,69562.01,69384.38,0.043222,-0.0026,-7.68,TIMEOUT,100212.02,18,55.6,0.0011
2026-08-19T23:50:25.832840,ETHUSDT,long,2242.99,2249.01,1.340439,0.0027,8.07,TIMEOUT,100220.09,19,57.9,0.0010
2026-08-19T23:59:37.513920,BTCUSDT,long,69384.38,69334.00,0.043329,-0.0007,-2.18,TIMEOUT,100217.91,20,55.0,0.0010
2026-08-20T01:06:51.727379,ETHUSDT,long,2249.01,2261.53,1.336856,0.0056,16.74,TIMEOUT,100234.64,21,57.1,0.0009
2026-08-20T01:16:03.773593,BTCUSDT,long,69334.00,69362.01,0.043363,0.0004,1.21,TIMEOUT,100235.86,22,59.1,0.0009
2026-08-20T02:23:28.538819,ETHUSDT,long,2261.53,2261.20,1.329648,-0.0001,-0.44,TIMEOUT,100235.42,23,56.5,0.0009
2026-08-20T02:32:40.689965,BTCUSDT,long,69362.01,69475.19,0.043353,0.0016,4.91,TIMEOUT,100240.33,24,58.3,0.0008
2026-08-20T03:39:56.787305,ETHUSDT,long,2261.20,2246.01,1.329853,-0.0067,-20.20,TIMEOUT,100220.13,25,56.0,0.0010
2026-08-20T03:49:07.769159,BTCUSDT,long,69475.19,69250.00,0.043285,-0.0032,-9.75,TIMEOUT,100210.38,26,53.8,0.0011
2026-08-20T04:56:25.054920,ETHUSDT,long,2246.01,2251.94,1.338642,0.0026,7.94,TIMEOUT,100218.32,27,55.6,0.0010
2026-08-20T05:05:37.821066,BTCUSDT,long,69250.00,69500.99,0.043412,0.0036,10.90,TIMEOUT,100229.21,28,57.1,0.0009
2026-08-20T06:12:57.867570,ETHUSDT,long,2251.94,2243.13,1.335093,-0.0039,-11.76,TIMEOUT,100217.45,29,55.2,0.0010
2026-08-20T06:22:09.978380,BTCUSDT,long,69500.99,69629.74,0.043264,0.0019,5.57,TIMEOUT,100223.02,30,56.7,0.0010
2026-08-20T07:29:27.430641,ETHUSDT,short,2243.13,2254.71,1.340325,-0.0052,-15.52,TIMEOUT,100207.50,31,54.8,0.0011
2026-08-20T07:38:40.084043,BTCUSDT,long,69629.74,69579.99,0.043181,-0.0007,-2.15,TIMEOUT,100205.35,32,53.1,0.0012
2026-08-20T08:12:20.844250,BTCUSDT,long,69579.99,70971.59,0.043204,0.0200,60.12,TP,100265.47,33,54.5,0.0006
2026-08-20T08:47:14.748430,ETHUSDT,short,2254.71,2279.12,1.333309,-0.0108,-32.55,TIMEOUT,100232.93,34,52.9,0.0009
2026-08-20T09:29:04.311489,BTCUSDT,long,71112.01,71900.00,0.042299,0.0111,33.33,TIMEOUT,100266.26,35,54.3,0.0005
2026-08-20T10:03:48.157445,ETHUSDT,long,2279.12,2279.85,1.319364,0.0003,0.96,TIMEOUT,100267.22,36,55.6,0.0005
2026-08-20T10:59:38.537413,BTCUSDT,long,71900.00,71978.04,0.041836,0.0011,3.26,TIMEOUT,100270.49,37,56.8,0.0005
