time,equity,effective_equity,trades,wr,cooldown
2026-09-07T15:17:56.740895+00:00,10.00,10.00,0,0.0,0
2026-09-07T15:17:57.913474,10.55,10.55,3,33.3,0
2026-09-07T15:18:15.320399,10.55,10.55,3,33.3,0
2026-09-07T15:18:35.130787,10.55,10.55,3,33.3,0
2026-09-07T15:19:11.839407,10.55,10.55,6,16.7,0
2026-09-07T15:24:08.742329,10.55,10.03,6,16.7,0
2026-09-07T15:24:23.577946,10.55,9.97,6,16.7,0
2026-09-07T15:24:36.999855,10.55,10.13,6,16.7,0
2026-09-07T15:24:51.056683,10.55,10.17,6,16.7,0
2026-09-07T15:25:09.672035,10.55,10.18,6,16.7,0
2026-09-07T15:25:22.902144,10.55,10.22,6,16.7,0
2026-09-07T15:25:36.202509,10.55,10.17,6,16.7,0
2026-09-07T15:25:51.489828,10.55,10.15,6,16.7,0
2026-09-07T15:26:04.931447,10.55,10.67,6,16.7,0
2026-09-07T15:26:22.448900,10.55,11.30,6,16.7,0
2026-09-07T15:26:36.163405,10.55,11.20,6,16.7,0
2026-09-07T15:26:55.507740,10.55,11.37,6,16.7,0
2026-09-07T15:27:08.724705,10.55,11.25,6,16.7,0
2026-09-07T15:27:26.339002,10.55,11.27,6,16.7,0
2026-09-07T15:27:39.255031,10.55,11.00,6,16.7,0
2026-09-07T15:27:51.768868,10.55,11.00,6,16.7,0
2026-09-07T15:28:06.413167,10.55,10.72,6,16.7,0
2026-09-07T15:28:18.806226,10.55,10.30,6,16.7,0
2026-09-07T15:28:33.719238,10.55,10.19,6,16.7,0
2026-09-07T15:28:57.558194,9.91,9.94,7,14.3,0
2026-09-07T15:29:10.953739,9.91,9.87,7,14.3,0
2026-09-07T15:29:24.654522,9.91,9.85,7,14.3,0
2026-09-07T15:29:43.343467,9.91,9.82,7,14.3,0
2026-09-07T15:29:58.161449,9.91,9.81,7,14.3,0
2026-09-07T15:30:14.051419,9.91,9.87,7,14.3,0
2026-09-07T15:30:28.673553,9.91,9.83,7,14.3,0
2026-09-07T15:30:48.376831,9.91,9.86,7,14.3,0
2026-09-07T15:31:11.426299,9.91,9.79,7,14.3,0
2026-09-07T15:31:35.214456,9.87,9.74,8,12.5,0
2026-09-07T15:31:50.035191,9.87,10.16,8,12.5,0
2026-09-07T15:32:03.478251,9.87,10.01,8,12.5,0
2026-09-07T15:32:15.817412,9.87,10.05,8,12.5,0
2026-09-07T15:32:28.241468,9.87,10.10,8,12.5,0
2026-09-07T15:32:42.938797,9.87,10.19,8,12.5,0
2026-09-07T15:32:58.659654,9.87,10.24,8,12.5,0
2026-09-07T15:33:12.981454,9.87,10.29,8,12.5,0
2026-09-07T15:33:25.939825,9.87,10.31,8,12.5,0
2026-09-07T15:33:39.025285,9.87,10.16,8,12.5,0
2026-09-07T15:33:53.609376,9.87,10.10,8,12.5,0
2026-09-07T15:34:09.315234,9.87,9.87,8,12.5,0
2026-09-07T15:34:24.342204,9.87,9.84,8,12.5,0
2026-09-07T15:34:37.369404,9.87,9.87,8,12.5,0
2026-09-07T15:34:50.415675,9.87,9.93,8,12.5,0
2026-09-07T15:35:05.555022,9.87,9.93,8,12.5,0
