time,symbol,dir,entry,exit,resolve,pnl_pct,pnl_dollar,reason,equity,trades,wr
2026-09-07T15:18:49.947980,QUSDT,long,0.03,0.03,market,0.0023,0.00,KILL,10.55,4,25.0
2026-09-07T15:18:53.640103,UAIUSDT,long,0.68,0.68,market,-0.0022,-0.00,KILL,10.55,5,20.0
2026-09-07T15:18:57.324930,BULLAUSDT,long,0.08,0.08,market,0.0019,0.00,KILL,10.55,6,16.7
2026-09-07T15:28:45.840120,QUSDT,long,0.03,0.03,market,-0.0160,-0.64,SL,9.91,7,14.3
2026-09-07T15:31:23.554285,QUSDT,long,0.03,0.03,market,-0.0160,-0.05,SL,9.87,8,12.5
2026-09-07T15:35:51.303346,BULLAUSDT,long,0.08,0.08,market,-0.0011,-0.04,TIMEOUT,9.82,9,11.1
2026-09-07T15:39:31.380324,QUSDT,long,0.03,0.03,market,0.0290,0.63,TP,10.45,10,20.0
2026-09-07T15:43:41.035081,UAIUSDT,long,0.68,0.68,market,-0.0051,-0.06,TIMEOUT,10.39,11,18.2
2026-09-07T15:47:56.412894,DOODUSDT,short,0.00,0.00,market,-0.0025,-0.01,TIMEOUT,10.39,12,16.7
2026-09-07T15:52:21.131429,QUSDT,long,0.03,0.03,market,0.0290,1.20,TP,11.59,13,23.1
2026-09-07T15:54:43.775251,QUSDT,long,0.03,0.03,market,-0.0160,-0.74,SL,10.85,14,21.4
2026-09-07T16:02:12.691707,UAIUSDT,long,0.68,0.70,market,0.0290,1.33,TP,12.18,15,26.7
2026-09-07T16:02:35.947745,DOODUSDT,short,0.00,0.00,market,-0.0160,-0.69,SL,11.48,16,25.0
2026-09-07T16:02:56.734223,UAIUSDT,long,0.71,0.70,market,-0.0160,-0.77,SL,10.71,17,23.5
2026-09-07T16:03:39.743909,UAIUSDT,long,0.70,0.69,market,-0.0160,-0.68,SL,10.03,18,22.2
2026-09-07T16:11:43.289209,QUSDT,long,0.03,0.03,market,0.0175,0.76,TIMEOUT,10.79,19,26.3
2026-09-07T16:14:56.198819,QUSDT,long,0.03,0.03,market,-0.0160,-0.69,SL,10.10,20,25.0
2026-09-07T16:31:58.888818,QUSDT,long,0.03,0.03,market,-0.0083,-0.33,TIMEOUT,9.77,21,23.8
2026-09-07T16:32:23.055340,QUSDT,long,0.03,0.03,market,-0.0160,-0.62,SL,9.14,22,22.7
2026-09-07T16:48:30.652814,UAIUSDT,long,0.69,0.71,market,0.0290,1.04,TP,10.19,23,26.1
2026-09-07T17:02:24.401805,QUSDT,short,0.03,0.03,market,-0.0007,-0.03,TIMEOUT,10.16,24,25.0
2026-09-07T17:05:31.992435,UAIUSDT,long,0.71,0.71,market,-0.0037,-0.15,TIMEOUT,10.01,25,24.0
2026-09-07T17:19:38.030592,QUSDT,short,0.03,0.03,market,0.0063,0.26,TIMEOUT,10.27,26,26.9
2026-09-07T17:22:29.356088,UAIUSDT,long,0.71,0.71,market,0.0005,0.02,TIMEOUT,10.29,27,29.6
2026-09-07T17:39:21.244925,UAIUSDT,long,0.71,0.73,market,0.0248,1.01,TIMEOUT,11.30,28,32.1
2026-09-07T17:56:21.206982,UAIUSDT,long,0.73,0.74,market,0.0117,0.52,TIMEOUT,11.82,29,34.5
2026-09-07T18:13:19.182194,UAIUSDT,long,0.74,0.75,market,0.0075,0.35,TIMEOUT,12.17,30,36.7
2026-09-07T18:27:27.674499,UAIUSDT,long,0.75,0.74,market,-0.0160,-0.78,SL,11.40,31,35.5
2026-09-07T18:32:17.077485,BULLAUSDT,long,0.08,0.08,market,-0.0160,-0.73,SL,10.67,32,34.4
2026-09-07T18:41:28.850346,APRUSDT,long,0.19,0.19,market,-0.0160,-0.68,SL,9.99,33,33.3
2026-09-07T18:44:35.277730,UAIUSDT,long,0.73,0.72,market,-0.0122,-0.55,TIMEOUT,9.43,34,32.4
2026-09-07T19:10:21.136830,BULLAUSDT,long,0.08,0.08,market,0.0014,0.05,TIMEOUT,9.49,35,34.3
2026-09-07T19:38:54.310667,APRUSDT,long,0.19,0.19,market,0.0006,0.02,TIMEOUT,9.51,36,36.1
2026-09-07T19:41:24.335032,BULLAUSDT,long,0.08,0.08,market,0.0056,0.21,TIMEOUT,9.72,37,37.8
2026-09-07T19:56:04.988833,APRUSDT,long,0.19,0.19,market,-0.0015,-0.06,TIMEOUT,9.66,38,36.8
2026-09-07T21:21:56.519894,DOODUSDT,long,0.00,0.00,market,-0.0095,-0.37,TIMEOUT,9.29,39,35.9
2026-09-07T23:03:51.813546,DOODUSDT,short,0.00,0.00,market,-0.0059,-0.22,TIMEOUT,9.08,40,35.0
2026-09-08T18:28:27.206714,UAIUSDT,long,0.74,0.73,market,-0.0160,-0.51,SL,8.57,41,34.1
2026-09-08T18:30:10.420301,DOODUSDT,short,0.00,0.00,market,-0.0016,-0.06,TIMEOUT,8.51,42,33.3
2026-09-08T18:32:50.033826,BULLAUSDT,long,0.08,0.08,market,-0.0022,-0.05,TIMEOUT,8.46,43,32.6
2026-09-08T18:33:32.773454,TRADOORUSDT,long,0.68,0.68,market,-0.0003,-0.00,TIMEOUT,8.45,44,31.8
2026-09-08T18:45:32.995381,UAIUSDT,long,0.73,0.72,market,-0.0119,-0.21,TIMEOUT,8.25,45,31.1
2026-09-08T18:52:56.769500,BULLAUSDT,long,0.08,0.08,market,-0.0160,-0.48,SL,7.77,46,30.4
2026-09-08T19:07:29.349065,TRADOORUSDT,long,0.68,0.69,market,0.0041,0.14,TIMEOUT,7.90,47,31.9
2026-09-08T19:20:59.681168,BULLAUSDT,long,0.08,0.08,market,-0.0009,-0.03,TIMEOUT,7.88,48,31.2
2026-09-08T19:26:18.549466,TRADOORUSDT,long,0.69,0.68,market,-0.0107,-0.26,TIMEOUT,7.62,49,30.6
2026-09-08T19:26:26.499529,BULLAUSDT,long,0.08,0.08,market,-0.0160,-0.30,SL,7.32,50,30.0
2026-09-08T20:06:53.806927,JCTUSDT,long,0.00,0.00,market,-0.0077,-0.23,TIMEOUT,7.09,51,29.4
2026-09-09T04:04:45.135732,MAGMAUSDT,long,0.25,0.25,market,-0.0160,-0.19,SL,6.90,52,28.8
2026-09-09T04:20:33.164301,MAGMAUSDT,long,0.25,0.26,market,0.0290,0.57,TP,7.48,53,30.2
2026-09-09T04:33:18.657356,MAGMAUSDT,long,0.26,0.26,market,-0.0160,-0.36,SL,7.12,54,29.6
2026-09-09T04:36:06.242867,MAGMAUSDT,long,0.26,0.25,market,-0.0160,-0.45,SL,6.67,55,29.1
2026-09-09T04:49:26.370461,MAGMAUSDT,long,0.25,0.26,market,0.0290,0.49,TP,7.15,56,30.4
2026-09-09T04:50:54.924273,DOODUSDT,long,0.00,0.00,market,0.0040,0.09,TIMEOUT,7.24,57,31.6
2026-09-09T04:56:25.395855,ZECUSDT,long,1233.63,1243.39,market,0.0069,0.12,TIMEOUT,7.36,58,32.8
2026-09-09T04:58:58.419054,MAGMAUSDT,long,0.26,0.26,market,-0.0160,-0.27,SL,7.09,59,32.2
2026-09-09T05:07:28.132664,MAGMAUSDT,long,0.26,0.25,market,-0.0160,-0.35,SL,6.74,60,31.7
2026-09-09T05:08:07.062179,DOODUSDT,long,0.00,0.00,market,-0.0032,-0.07,TIMEOUT,6.67,61,31.1
2026-09-09T05:13:41.893448,ZECUSDT,long,1243.39,1239.91,market,-0.0038,-0.08,TIMEOUT,6.59,62,30.6
2026-09-09T05:35:24.570508,ZECUSDT,long,1241.83,1223.20,market,-0.0160,-0.40,SL,6.19,63,30.2
2026-09-09T05:40:23.302594,DOODUSDT,long,0.00,0.00,market,-0.0099,-0.26,TIMEOUT,5.94,64,29.7
2026-09-09T06:18:20.828299,TRIAUSDT,long,0.00,0.00,market,-0.0160,-0.37,SL,5.57,65,29.2
2026-09-09T06:39:28.771720,TRIAUSDT,long,0.00,0.00,market,0.0083,0.18,TIMEOUT,5.75,66,30.3
2026-09-09T06:47:46.008837,UAIUSDT,short,0.67,0.66,market,0.0194,0.33,TIMEOUT,6.07,67,31.3
2026-09-09T06:53:26.600334,MAGMAUSDT,long,0.26,0.26,market,0.0088,0.12,TIMEOUT,6.20,68,32.4
2026-09-09T06:56:41.965699,TRIAUSDT,long,0.00,0.00,market,0.0104,0.18,TIMEOUT,6.37,69,33.3
2026-09-09T07:04:47.655175,UAIUSDT,short,0.66,0.67,market,-0.0098,-0.17,TIMEOUT,6.20,70,32.9
2026-09-09T07:10:29.986164,MAGMAUSDT,long,0.26,0.27,market,0.0068,0.09,TIMEOUT,6.29,71,33.8
2026-09-09T07:13:38.258994,TRIAUSDT,long,0.00,0.00,market,-0.0060,-0.11,TIMEOUT,6.18,72,33.3
2026-09-09T07:17:45.980138,UAIUSDT,short,0.65,0.66,market,-0.0160,-0.26,SL,5.92,73,32.9
2026-09-09T07:27:33.462116,MAGMAUSDT,long,0.27,0.27,market,0.0150,0.24,TIMEOUT,6.16,74,33.8
2026-09-09T07:27:58.899322,UAIUSDT,short,0.69,0.67,market,0.0290,0.26,TP,6.42,75,34.7
